behavior,context,frequency,likely_issue,risk,why_it_matters,immediate_action,long_term_support,escalate_when,,
barking,crowded public space,once,excitement or novelty response,low,Single-instance vocalization is common and often context-driven,Increase distance slightly and reward calm behavior,Gradually reintroduce similar environments with reinforcement,If this happens multiple times in one outing or starts happening in different environments,,
barking,crowded public space,repeated,overarousal in stimulating environment,medium,Repeated vocalization reduces focus and may generalize,Move farther from the trigger and reward calm check-ins before re-engaging,Build tolerance through short, repeated exposures with reinforcement,If barking continues across multiple environments or becomes harder to interrupt,
barking,training class,repeated,training-context overarousal,medium,Overarousal can interfere with learning and responsiveness,Pause the activity and regain focus using simple cues,Shorten sessions and gradually increase difficulty,If barking happens in most sessions or prevents the dog from responding to cues,,
fear and anxiety,new environment,once,novelty sensitivity,low,Initial fear responses are common in new environments,Give space and allow the dog to observe without pressure,Introduce low-intensity exposure with positive reinforcement,If the dog avoids the situation completely or shows the same response in familiar environments,,
fear and anxiety,new environment,repeated,persistent fear pattern,high,Repeated fear responses can generalize and become harder to reverse,Reduce exposure intensity and create more distance from the trigger,Use gradual desensitization with consistent positive reinforcement,If the dog shuts down, refuses to engage, or shows fear in multiple environments
growling,unfamiliar person,once,defensive discomfort,medium,Growling signals discomfort and should be respected,Increase distance and avoid forcing interaction,Pair controlled exposure with positive associations,If growling happens more than once with similar triggers or begins occurring in new situations,,
poor eye contact,training class,repeated,low engagement under distraction,medium,Low engagement reduces training effectiveness,Simplify the environment and reinforce attention frequently,Gradually increase distractions while maintaining engagement,If the dog consistently fails to engage across multiple sessions,,
poor responsivity,home training,repeated,low cue responsiveness,medium,Poor responsiveness limits training progress,Use simpler cues and reward fast responses,Increase consistency and reduce competing stimuli,If the dog ignores cues across different environments or over multiple sessions,,
impulsivity,excitable greeting,repeated,impulse control difficulty,medium,Impulsivity can interfere with service dog behavior standards,Wait for calm behavior before giving attention,Practice structured greeting routines consistently,If the behavior becomes harder to interrupt or appears in multiple contexts,,
excitable greetings,unfamiliar person,intermittent,excitement-driven response,medium,Excitable greetings are common but should decrease over time,Reward calm behavior before interaction begins,Gradually increase exposure to new people,If excitement increases over time or becomes difficult to manage,,
jumping on people,home environment,repeated,unstructured greeting behavior,low,Jumping is common but should reduce with consistent reinforcement,Ignore jumping and reward calm posture,Practice consistent greeting routines,If jumping continues despite consistent training or occurs in new environments,,